subgroup,hhsize_2000,hhsize_2019,hhsize_pctchg_2000_2019
0-4,4.514901944615421,4.524832202786892,0.2199440495781883
5-9,4.704137875209522,4.693120241972668,-0.2342115288524185
10-14,4.650422793357626,4.63448268557397,-0.3427668513586175
15-19,4.355719095031162,4.315995708383742,-0.9119822876717458
20-24,3.5739410425238063,3.598776083138295,0.6948922861064005
25-29,3.3112899354299965,3.238061418657869,-2.211480063663417
30-34,3.5068154998380003,3.426087260627335,-2.302038393933028
35-39,3.6709035268995107,3.685533776391611,0.3985462811782776
40-44,3.512097547724305,3.64062426319552,3.6595428721646734
45-49,3.140481669444058,3.3284354221503656,5.984870236150119
50-54,2.723602996787497,2.9274068030799514,7.482874946636565
55-59,2.4621058614671116,2.5840539269522185,4.9529984633739845
60-64,2.3402172994115658,2.376251390447781,1.5397754321906738
65-69,2.206060786877181,2.237584667973501,1.4289670204846858
70-74,2.0980713393826305,2.1609240946313033,2.9957396618919367
75-79,1.9801975251022785,2.0992314806307952,6.011216255932272
80-84,1.8784748308308563,2.042865047497458,8.751260009903417
85plus,1.8309406073490209,1.928868377309579,5.348495170596799
