"subgroup","headship_rate_2000","headship_rate_2019"
"0-4",0,0
"5-9",0,0
"10-14",0,0
"15-19",3.01379865001588,1.74569114156681
"20-24",28.0379512448997,20.2765406395919
"25-29",43.9098048901969,37.4900528137522
"30-34",49.9352882826524,46.6012625410107
"35-39",52.8405661054632,50.398155030892
"40-44",55.1070820219913,52.3667491726251
"45-49",56.5213110814367,54.0356367531106
"50-54",57.9660110528677,55.1691835118452
"55-59",58.8701423130128,56.6719444523438
"60-64",60.1840658470341,58.1175758977701
"65-69",63.1304707298714,60.2508629789924
"70-74",65.0818942855063,61.6238880828262
"75-79",69.1731613640241,63.4083936680051
"80-84",73.1129113899674,65.5385084353522
"85+",74.7190773999299,68.9659595231016
