State,headship_rate_2000,headship_rate_2019
Utah,0.32000560866072214,0.3205101212238082
Hawaii,0.3431281684128898,0.33360277194962445
California,0.34844388709787155,0.3392431320486226
Texas,0.36477835156900956,0.3504008663808739
Alaska,0.3652306161187419,0.3570849700285691
Idaho,0.37311201939071337,0.37341823928825063
New Jersey,0.3731330120426821,0.37168912399567133
Georgia,0.37854224765378147,0.37059650603526306
Arizona,0.37866602643962494,0.37307776463528014
Illinois,0.3793817218815972,0.3885680772462582
New Mexico,0.37989759410127655,0.3812282638386995
Mississippi,0.3813238788749398,0.3822998464784369
Nevada,0.38208429585568343,0.37447983656121303
Louisiana,0.38271579012953927,0.3835677727225318
Maryland,0.38316522279204507,0.37516569344717404
New York,0.384355869247046,0.38653736367716013
Michigan,0.39089679757781576,0.40419884767284414
Delaware,0.3936294044522719,0.3899029055360051
Virginia,0.3940952552561147,0.3838477742133116
Washington,0.3944848460846885,0.39259162467120734
Connecticut,0.39452795074537444,0.3959282671533749
Colorado,0.39468838309246546,0.39151872365838347
Indiana,0.39612920363907245,0.3969135131362012
New Hampshire,0.3962302856347081,0.4075332576019291
Minnesota,0.39625108249762564,0.4024521792995909
South Carolina,0.39634684170996726,0.393531407388114
Oregon,0.3990204663032103,0.399084139655084
Massachusetts,0.39908540966304146,0.3964887804272118
Kansas,0.39942345056658707,0.3990608652874974
Wisconsin,0.400776385424027,0.41785875178152615
South Dakota,0.40086547979122605,0.4116401053844572
Alabama,0.40096372014257736,0.3925501793982844
Nebraska,0.40107168821335865,0.4076810080215268
Arkansas,0.40164095963344,0.39728591820499287
North Carolina,0.4023175846261916,0.3970577029580475
Ohio,0.40240205710189314,0.41244029891092726
Oklahoma,0.4026373140352606,0.38716152144825594
Tennessee,0.40311656186128714,0.39646645828206667
Pennsylvania,0.40374945214930585,0.4086404442803946
Wyoming,0.40428312659069543,0.40590825843469797
Missouri,0.4049780897566231,0.4072436288173208
Kentucky,0.4050446933009464,0.40179983636587707
Rhode Island,0.405571062646225,0.40410395854889636
Florida,0.4071311907265744,0.37797003625607056
Iowa,0.4076138008343503,0.41617361607633246
Montana,0.40819053912409414,0.4187404020917934
Vermont,0.4105257066805543,0.43421177861375626
West Virginia,0.4158646290806228,0.41394833210249954
North Dakota,0.4161992933638918,0.4354540540910366
Maine,0.4181675202645481,0.4312342460603596
District of Columbia,0.4628488603103717,0.4350943442417269
