State,household_size_2000,household_size_2019
Utah,4.160938875189486,4.04565733842838
Hawaii,4.0400472083954755,4.030962200885008
California,3.996849043691114,3.7699047073404457
Texas,3.6645462781739493,3.58701834381595
Alaska,3.65929747436134,3.69402643236379
Idaho,3.5328850022971023,3.4868343207543364
New Jersey,3.530389774753503,3.4426577571148806
Georgia,3.4575169226415983,3.3837231292262127
Arizona,3.6048622616020243,3.5055445637071276
Illinois,3.579626991721833,3.345132412683437
New Mexico,3.533791027752425,3.3087230022033634
Mississippi,3.453018975502604,3.283704040888314
Nevada,3.531005211476945,3.434124562418419
Louisiana,3.4398593725301057,3.2296701898543394
Maryland,3.4287096626179316,3.4154000011229124
New York,3.5435100330775122,3.434722985146124
Michigan,3.390243174596226,3.2405643442583796
Delaware,3.306689217602912,3.2160032540114383
Virginia,3.297662782474687,3.2956567778413843
Washington,3.3674230423442544,3.3475973855646997
Connecticut,3.3180482406096705,3.1920209658940233
Colorado,3.3647559487121694,3.2931202720817763
Indiana,3.3066486546101768,3.2652486615473846
New Hampshire,3.2354941547996185,3.115564182365103
Minnesota,3.354364496422942,3.281376378807637
South Carolina,3.268232337855778,3.152073417549412
Oregon,3.3434002318879026,3.254063344118405
Massachusetts,3.3042669193259036,3.216894724005932
Kansas,3.3140793156652295,3.2894834865102314
Wisconsin,3.299065664941045,3.1563411697444845
South Dakota,3.354973544827662,3.2763413327978044
Alabama,3.2305751457249285,3.153296842791955
Nebraska,3.32813021813539,3.324766296160033
Arkansas,3.2405099784756843,3.233522320094655
North Carolina,3.2182072872985197,3.1761617346183204
Ohio,3.2703479922258873,3.188072067911756
Oklahoma,3.2606926822281395,3.305608054818386
Tennessee,3.2117127028740864,3.218450585799275
Pennsylvania,3.262646589645263,3.19357759330435
Wyoming,3.260993907154455,3.1863961493808732
Missouri,3.248281609991962,3.2061424917211476
Kentucky,3.1841429716944125,3.2077069262821793
Rhode Island,3.244639818378841,3.1127431821381424
Florida,3.259387746217006,3.2188638468195556
Iowa,3.2204802480347365,3.1799053079760076
Montana,3.2473636239347394,3.12388776821535
Vermont,3.134904547705724,2.9454916438331002
West Virginia,3.082898265107047,3.0484483301248786
North Dakota,3.162747734788413,3.1213497444598763
Maine,3.0745275638182035,2.953899119320108
District of Columbia,3.178804142019561,2.964748670367401
