State,prop_2000,prop_2019,pop_2000,pop_2019,observed_2000,observed_2019,expected_2019,diff
Alabama,0.015832723869984962,0.01503167842586382,4331963,4758128,3.2305751457249285,3.153296842791955,3.086811792328369,0.06648505046358574
Alaska,0.0022181206962751977,0.002241451076611687,606896,709509,3.65929747436134,3.69402643236379,3.532003135498573,0.16202329686521716
Arizona,0.01835916500965916,0.021772841535740786,5023218,6891976,3.6048622616020243,3.5055445637071276,3.454044690423709,0.05149987328341906
Arkansas,0.009495300387475602,0.009209005771446906,2597992,2915019,3.2405099784756843,3.233522320094655,3.1589921221504476,0.07453019794420751
California,0.12081740095540631,0.12146423159858509,33056631,38448292,3.996849043691114,3.7699047073404457,3.832199213013608,-0.06229450567316188
Colorado,0.015340377505871123,0.017340422728330154,4197253,5488938,3.3647559487121694,3.2931202720817763,3.199472122218644,0.0936481498631319
Connecticut,0.012060132190119524,0.010935811044994075,3299751,3461622,3.3180482406096705,3.1920209658940233,3.1895474208849635,0.0024735450090598563
Delaware,0.002772501021031187,0.0029436181838534835,758579,931773,3.306689217602912,3.2160032540114383,3.1645579934657877,0.05144526054565082
District of Columbia,0.0019592505261035766,0.002064711978896167,536067,653564,3.178804142019561,2.964748670367401,2.889328746072857,0.07541992429454336
Florida,0.05700139573670299,0.0646599696770109,15596049,20467469,3.259387746217006,3.2188638468195556,3.185249431753559,0.033614415065996515
Georgia,0.029062086389627328,0.03204037060285398,7951625,10142060,3.4575169226415983,3.3837231292262127,3.3611967615734604,0.02252636765275201
Hawaii,0.004298343476152094,0.004349961622863792,1176062,1376937,4.0400472083954755,4.030962200885008,3.892184315350746,0.1387778855342618
Idaho,0.004614116181717437,0.005329139504673207,1262460,1686886,3.5328850022971023,3.4868343207543364,3.380174354570712,0.10665996618362435
Illinois,0.044200499915581844,0.039397774879875065,12093619,12470973,3.579626991721833,3.345132412683437,3.4022534189416898,-0.057121006258252456
Indiana,0.021573597238196757,0.020456774197477975,5902713,6475388,3.3066486546101768,3.2652486615473846,3.167136442110911,0.09811221943647354
Iowa,0.010302907776574454,0.009605717044940988,2818960,3040594,3.2204802480347365,3.1799053079760076,3.1103128597506537,0.06959244822535372
Kansas,0.009520208267153694,0.008939235787154809,2604807,2829626,3.3140793156652295,3.2894834865102314,3.202259689985649,0.08722379652458288
Kentucky,0.01434850297521242,0.013637921072568027,3925868,4316948,3.1841429716944125,3.2077069262821793,3.0531529201128462,0.1545540061693334
Louisiana,0.01583810382580098,0.014326791283531613,4333435,4535003,3.4398593725301057,3.2296701898543394,3.2708797253644635,-0.04120953551012404
Maine,0.004531479767994523,0.004100865168922045,1239850,1298088,3.0745275638182035,2.953899119320108,2.8499256380487936,0.10397348127131423
Maryland,0.018877917746579192,0.018568175803001272,5165153,5877571,3.4287096626179316,3.4154000011229124,3.349453387642584,0.065946613480329
Massachusetts,0.022408140954988574,0.020854897614625265,6131051,6601410,3.3042669193259036,3.216894724005932,3.188159978065158,0.028734745940774138
Michigan,0.03539543835666179,0.030754116239211628,9684482,9734909,3.390243174596226,3.2405643442583796,3.1705124275325067,0.07005191672587269
Minnesota,0.017455588272858567,0.017156117447058847,4775992,5430598,3.354364496422942,3.281376378807637,3.2135525979610353,0.06782378084660212
Mississippi,0.010044775888383022,0.009126317968361625,2748333,2888845,3.453018975502604,3.283704040888314,3.2951060164959567,-0.011401975607643118
Missouri,0.019856302184223684,0.018730528094907578,5432847,5928962,3.248281609991962,3.2061424917211476,3.089044039477892,0.11709845224325585
Montana,0.0032079448497513026,0.003227733904900004,877720,1021707,3.2473636239347394,3.12388776821535,3.054197895747051,0.06968987246829841
Nebraska,0.006062968983805475,0.005881925823006641,1658878,1861865,3.32813021813539,3.324766296160033,3.2465383488702693,0.07822794728976398
Nevada,0.007187726961175267,0.009267241691141032,1966621,2933453,3.531005211476945,3.434124562418419,3.4550824644393425,-0.020957902020923045
New Hampshire,0.0043828694531609334,0.004124252416046685,1199189,1305491,3.2354941547996185,3.115564182365103,2.9933082531672426,0.12225592919786006
New Jersey,0.03004513077541409,0.02746726500951851,8220594,8694489,3.530389774753503,3.4426577571148806,3.4405074588170783,0.0021502982978023628
New Mexico,0.006511274269398254,0.006464954761456808,1781538,2046417,3.533791027752425,3.3087230022033634,3.3350425229273775,-0.026319520724014004
New York,0.06722444844899476,0.06001365691393083,18393160,18996725,3.5435100330775122,3.434722985146124,3.4184698673294274,0.016253117816696368
North Carolina,0.028481171771920062,0.03155059685120271,7792682,9987027,3.2182072872985197,3.1761617346183204,3.116770479404171,0.05939125521414965
North Dakota,0.0022612846080871224,0.002308728506676031,618706,730805,3.162747734788413,3.1213497444598763,3.052921624257005,0.06842812020287091
Ohio,0.04039940762739216,0.03581967455023398,11053609,11338361,3.2703479922258873,3.188072067911756,3.0903493483592692,0.0977227195524866
Oklahoma,0.012197218727311878,0.012076845230894237,3337259,3822805,3.2606926822281395,3.305608054818386,3.1907917634653913,0.11481629135299483
Oregon,0.01223394277353425,0.012758597858746676,3347307,4038607,3.3434002318879026,3.254063344118405,3.192885621974249,0.0611777221441561
Pennsylvania,0.04327988056059505,0.03906237022771028,11841730,12364804,3.262646589645263,3.19357759330435,3.1245524933103193,0.06902509999403074
Rhode Island,0.0036898529300264564,0.003208917959489446,1009574,1015751,3.244639818378841,3.1127431821381424,3.0950269352532667,0.01771624688487567
South Carolina,0.014175405089748865,0.015428152762503335,3878507,4883628,3.268232337855778,3.152073417549412,3.103937444843495,0.04813597270591722
South Dakota,0.0026511559714064853,0.0026428126307713735,725378,836556,3.354973544827662,3.2763413327978044,3.2190904051521922,0.057250927645612355
Tennessee,0.02024775244761949,0.0206947219826229,5539951,6550708,3.2117127028740864,3.218450585799275,3.087658544345857,0.13079204145341872
Texas,0.07413872234345906,0.08737904855346038,20284962,27658967,3.6645462781739493,3.58701834381595,3.599519520827417,-0.012501177011467336
Utah,0.00800221279921824,0.00963301848890305,2189471,3049236,4.160938875189486,4.04565733842838,4.041564152640372,0.00409318578800868
Vermont,0.002147490501883542,0.0018920166034985641,587571,598899,3.134904547705724,2.9454916438331002,2.8848883807676935,0.06060326306540675
Virginia,0.025029794886077882,0.025931920510250527,6848357,8208491,3.297662782474687,3.2956567778413843,3.2150420520653333,0.080614725776051
Washington,0.02104173816869776,0.02291953693288603,5757192,7254951,3.3674230423442544,3.3475973855646997,3.24364140302003,0.10395598254466942
West Virginia,0.006453808885366171,0.005591087413606584,1765815,1769803,3.082898265107047,3.0484483301248786,2.933086108652031,0.11536222147284733
Wisconsin,0.019009024930704287,0.017825972685654036,5201025,5642634,3.299065664941045,3.1563411697444845,3.1330686208595444,0.023272548884940094
Wyoming,0.0017533941189151884,0.0017905033775285433,479743,566766,3.260993907154455,3.1863961493808732,3.1218886246415694,0.064507524739304
