State,prop_2000,prop_2019,pop_2000,pop_2019,observed_2000,observed_2019,expected_2019,diff
Alabama,0.015832723869984962,0.01503167842586382,4331963,4758128,0.40096372014257736,0.3925501793982844,0.4280198792022388,-0.035469699803954396
Alaska,0.0022181206962751977,0.002241451076611687,606896,709509,0.3652306161187419,0.3570849700285691,0.3882247728195115,-0.03113980279094242
Arizona,0.01835916500965916,0.021772841535740786,5023218,6891976,0.37866602643962494,0.37307776463528014,0.4062658002029934,-0.03318803556771318
Arkansas,0.009495300387475602,0.009209005771446906,2597992,2915019,0.40164095963344,0.39728591820499287,0.4215911773411129,-0.02430525913612
California,0.12081740095540631,0.12146423159858509,33056631,38448292,0.34844388709787155,0.3392431320486226,0.3736997648379605,-0.03445663278933793
Colorado,0.015340377505871123,0.017340422728330154,4197253,5488938,0.39468838309246546,0.39151872365838347,0.42446428596799085,-0.03294556230960742
Connecticut,0.012060132190119524,0.010935811044994075,3299751,3461622,0.39452795074537444,0.3959282671533749,0.41191744414063214,-0.015989176987257197
Delaware,0.002772501021031187,0.0029436181838534835,758579,931773,0.3936294044522719,0.3899029055360051,0.41766686593577457,-0.027763960399769524
District of Columbia,0.0019592505261035766,0.002064711978896167,536067,653564,0.4628488603103717,0.4350943442417269,0.5043441469792339,-0.06924980273750703
Florida,0.05700139573670299,0.0646599696770109,15596049,20467469,0.4071311907265744,0.37797003625607056,0.4201422810641421,-0.04217224480807155
Georgia,0.029062086389627328,0.03204037060285398,7951625,10142060,0.37854224765378147,0.37059650603526306,0.39779306703018785,-0.027196560994924766
Hawaii,0.004298343476152094,0.004349961622863792,1176062,1376937,0.3431281684128898,0.33360277194962445,0.35909987673092697,-0.025497104781302564
Idaho,0.004614116181717437,0.005329139504673207,1262460,1686886,0.37311201939071337,0.37341823928825063,0.39970145674745866,-0.02628321745920805
Illinois,0.044200499915581844,0.039397774879875065,12093619,12470973,0.3793817218815972,0.3885680772462582,0.4042475330756048,-0.01567945582934658
Indiana,0.021573597238196757,0.020456774197477975,5902713,6475388,0.39612920363907245,0.3969135131362012,0.4124898875490497,-0.01557637441284853
Iowa,0.010302907776574454,0.009605717044940988,2818960,3040594,0.4076138008343503,0.41617361607633246,0.4281425473321325,-0.011968931255799987
Kansas,0.009520208267153694,0.008939235787154809,2604807,2829626,0.39942345056658707,0.3990608652874974,0.4186288833696489,-0.019568018082151473
Kentucky,0.01434850297521242,0.013637921072568027,3925868,4316948,0.4050446933009464,0.40179983636587707,0.4291950488935804,-0.027395212527703355
Louisiana,0.01583810382580098,0.014326791283531613,4333435,4535003,0.38271579012953927,0.3835677727225318,0.41612424792247615,-0.032556475199944396
Maine,0.004531479767994523,0.004100865168922045,1239850,1298088,0.4181675202645481,0.4312342460603596,0.4597131982091659,-0.028478952148806354
Maryland,0.018877917746579192,0.018568175803001272,5165153,5877571,0.38316522279204507,0.37516569344717404,0.40080270601341217,-0.025637012566238147
Massachusetts,0.022408140954988574,0.020854897614625265,6131051,6601410,0.39908540966304146,0.3964887804272118,0.42388685783066765,-0.027398077403455852
Michigan,0.03539543835666179,0.030754116239211628,9684482,9734909,0.39089679757781576,0.40419884767284414,0.4199828837470998,-0.015784036074255593
Minnesota,0.017455588272858567,0.017156117447058847,4775992,5430598,0.39625108249762564,0.4024521792995909,0.42241702950436366,-0.019964850204772785
Mississippi,0.010044775888383022,0.009126317968361625,2748333,2888845,0.3813238788749398,0.3822998464784369,0.41430799081653946,-0.032008144338102555
Missouri,0.019856302184223684,0.018730528094907578,5432847,5928962,0.4049780897566231,0.4072436288173208,0.4314778968337603,-0.024234268016439547
Montana,0.0032079448497513026,0.003227733904900004,877720,1021707,0.40819053912409414,0.4187404020917934,0.4475423344149524,-0.028801932323158943
Nebraska,0.006062968983805475,0.005881925823006641,1658878,1861865,0.40107168821335865,0.4076810080215268,0.4186289969544643,-0.010947988932937525
Nevada,0.007187726961175267,0.009267241691141032,1966621,2933453,0.38208429585568343,0.37447983656121303,0.39724611700075046,-0.022766280439537406
New Hampshire,0.0043828694531609334,0.004124252416046685,1199189,1305491,0.3962302856347081,0.4075332576019291,0.4375153566358492,-0.029982099033920073
New Jersey,0.03004513077541409,0.02746726500951851,8220594,8694489,0.3731330120426821,0.37168912399567133,0.38761433278963964,-0.01592520879396835
New Mexico,0.006511274269398254,0.006464954761456808,1781538,2046417,0.37989759410127655,0.3812282638386995,0.416033972181953,-0.034805708343253396
New York,0.06722444844899476,0.06001365691393083,18393160,18996725,0.384355869247046,0.38653736367716013,0.40617444616013865,-0.019637082482978508
North Carolina,0.028481171771920062,0.03155059685120271,7792682,9987027,0.4023175846261916,0.3970577029580475,0.4213982557712496,-0.02434055281320212
